project_id,custom_attribute_id,name,display_name,description,data_type,required,values,values_and_ids
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,d70bd079-b449-4072-a227-a7de89d83b0b,ca1,IFCGlobalId,Unique IFC identifier for BIM coordination,text,True,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,6ef4386f-a1c1-4a2f-b2f3-c5c65713432c,ca2,Trade,Construction trade responsible,select,True,,Architectural(aee888a2-1fbb-4064-b255-eb9011a3041b);Structural(6ca6e568-2106-49fc-add7-12e15bb31881);Mechanical(234ba6e7-c9ea-42c7-afee-edba81eda8e1);Electrical(b55f3c46-8955-4454-b68e-35a9709d98a3);Plumbing(9ba8962d-a4ad-4c09-a6fc-b7a4afdc8b6f);Fire Protection(c52f3ce1-7cf8-4bdd-82fa-c60cab84bc44);ACMV(aed6eaa4-6e65-4318-a51c-dc6c0f662654);Facade(d0a3d629-88dd-4c0f-8af2-a1eef2c869e6);Landscape(4124cf10-a0ff-4bb3-88b2-dd604d4ba0ec)
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,722a72ce-63d2-4e06-95ac-ff478eabbb1f,ca3,Subcontractor,Specialist subcontractor name,text,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,7bb51aa8-bcb1-4320-88fe-608e262cb81f,ca4,Supplier,Material or equipment supplier,text,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,deec1403-1918-438c-b798-bd59451490a2,ca5,Drawing Reference,Construction drawing number,text,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,b2ba5845-e7f5-431c-b5ba-870fc886194c,ca6,Location/Zone,Building location or zone,text,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,d12a68d6-9502-4c5c-abb9-918dfa06d1b9,ca7,Level,"Building level (e.g., B2, L1, L15, RF)",text,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,719ef16a-3cbe-4cda-ba42-995a11637a88,ca8,Grid Reference,"Structural grid (e.g., A1-B2)",text,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,d112468d-c155-4a14-8ab3-2441bfdb0d59,ca9,Material Type,Primary material,select,False,,Concrete(cb9cc859-04ff-4c91-99be-d33c540438c8);Steel(b3fefb89-2a1e-46ba-90b1-a55dc8b84c44);Aluminum(89cd09c5-eab3-4708-8d76-3f0c7e84361c);Timber(41b19f7e-7601-4113-83a2-0b45dbcdeea9);Glass(b1098032-ff7a-440f-a00d-a6541622ffa1);Brickwork(7b0e103e-4079-46c8-a87e-55539c95e23b);Precast(bb82c958-f443-4f3a-822d-a08440220731)
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,e4c68d96-d5ab-407c-b3f4-55b5cb95fb73,ca10,Fire Rating,Fire resistance rating,select,False,,0.5hr(125684f9-d8cf-4f50-92e5-3253d374590a);1hr(0f4c9038-edee-4b2a-81e2-0fdb9cbd71fe);2hr(cc0841db-0b9a-4c9a-a8a2-0d40f7045f18);3hr(b1a68d39-01b1-434c-abb4-ca6346ff66b9);4hr(0af9eb10-3eab-4817-b279-011f6c657180);Not Applicable(c409c559-e82f-4d14-968e-9609a6ac1bc8)
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,c437169b-3151-4032-96f2-ae55affa7159,ca11,Planned Installation Date,Target installation date,date,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,b9010742-6bd5-42d1-bd77-d91621088623,ca12,Actual Installation Date,Actual installation date,date,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,492ce2a8-4725-4e05-a748-0c6454236680,ca13,Inspector,Inspector or authority,select,False,,BCA(c080ffa2-2029-4d51-8270-ceeb39166da2);SCDF(2b5c0012-75d0-4b56-b4aa-3a9bc3b794b5);Internal QA/QC(b729164d-743c-482f-94d9-fda46dbefbac);Third Party(8197f850-3693-49ab-85a8-9b3f29801ee5);Consultant(41741ce6-144c-4fe6-9f7a-acd2f00e09d4)
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,12032495-6a02-4053-beba-fa3f22cb9e5a,ca14,Inspection Date,Date of inspection,date,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,e5b1da59-d503-4c98-a879-86b974582657,ca15,Quantity,Number of units,numeric,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,e7c03bc5-ddf9-4758-8af8-b5479b66ad4e,ca16,Unit,Unit of measurement,select,False,,No.(b7cf7acb-7713-4d1a-9618-a48cf06b063c);m(2f808001-95a8-4398-8bdb-0643f995b85a);m²(9308e46d-35d5-436e-9bc2-3970ba14a9ba);m³(f233bef7-ecf9-4ec9-a58e-ccf9e9ca7de9);kg(43db3f70-5cfb-41dc-95cd-9157e03acd38);tons(91913055-09d1-40f3-a9b4-baf5ada932c9)
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,67c6de80-0155-4f7f-b839-e0728451a67a,ca17,Manufacturer,Equipment manufacturer,text,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,6e0a1eaf-43cf-4e1c-aa03-1fc8276b090d,ca18,Model Number,Product model number,text,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,9f783417-d027-4a54-a6ab-af079bf5572b,ca19,Warranty Period (Months),Warranty duration,numeric,False,,
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,5d8594bc-ca33-40ae-adcd-aba955c60b0f,ca20,Remarks,Additional notes,text,False,,
