displayName,description,enumValues,requiredOnIngress,maxLengthOnIngress,defaultValue,dataType
Material Type,Type of material used in construction,"Steel,Concrete,Wood,Plastic",true,,Steel,select
Installation Date,Date when asset was installed,,false,,2025-01-01,date
Inspection Passed,Indicates whether inspection is complete,,false,,false,boolean
Component ID,Unique identifier for component,,true,50,,text
Weight (kg),Weight of the component in kilograms,,false,,0,numeric
Surface Finish,Surface finishing material,"Matte,Glossy,Satin,Textured",false,,Matte,multi_select
Color Code,Surface color code,"Red,Blue,Green,Gray,White",false,,Gray,select
Warranty Expiration,Expiration date of warranty,,false,,2026-12-31,date
Requires Maintenance,Whether the asset needs maintenance,,false,,true,boolean
Notes,Additional remarks or special handling instructions,,false,200,Handle with care.,text
Temperature Range (°C),Operational temperature range,,false,,0-100,text
Asset Category,Asset classification,"Mechanical,Electrical,Plumbing,Structural",true,,Mechanical,select
Permitted Inspectors,List of allowed inspection roles,"Engineer,Supervisor,Contractor",false,,Engineer,multi_select
Energy Efficiency Rating,Rating according to efficiency label,"A+,A,B,C,D",false,,A+,select
