project_id,status_set_id,status_set_name,status_id,status_label,status_description
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,9606b15d-1209-4007-9912-0a8564cd5f04,Specified,Specified
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,01f9c8ad-75fd-41d9-89d5-532bcf385db2,Ordered,Ordered
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,bd4f4e0a-e550-4cb8-8467-deb7f0a4fae2,Delivered,Delivered
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,95b5f032-f860-4b74-b6b0-6b01b3c8f10b,Installed,Installed
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,9bf99f49-9404-4aa3-8a4c-bdab4c570cb8,Pre-Start-Up,Pre-Start-Up
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,459eea50-b845-4d34-b0f7-8f2e886e6831,Start-Up,Start-Up
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,fc032ff5-9142-4dc7-8581-39d1c1b9389a,Pre-Functional Performance Tests,Pre-Functional Performance Tests
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,f82d5f2e-c2bc-44a3-b27b-cb1e285566d1,Functional Performance Tests,Functional Performance Tests
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,df3a989a-ee5c-4828-b076-badfd3d3356d,Acceptance,Acceptance
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,9fb88510-9264-4e7c-a516-3b3577016161,Default,8de29f68-fab7-4aac-aa8c-464bfbc6f1a5,Post-Acceptance,Post-Acceptance
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,87d0f805-d837-407f-a6c6-b8a4dd0df2cf,testing 1,4ee2681f-2f16-4aae-be5e-c1e220ca0685,1,haha
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,87d0f805-d837-407f-a6c6-b8a4dd0df2cf,testing 1,8b8486f9-b23d-4d5e-92d2-5a29707a3c94,2,lol
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,87d0f805-d837-407f-a6c6-b8a4dd0df2cf,testing 1,b9ce2627-81e8-4720-8924-ed65029a470b,3,uh huh
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,efa61e18-0f5a-4add-bafa-ae6b192e8e9e,testing 2,7cad71c6-a84a-46e1-9ce1-e52de64b6a43,abc,first
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,efa61e18-0f5a-4add-bafa-ae6b192e8e9e,testing 2,856aadf1-0186-44b3-85bd-ff8a244f8054,def,second
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,efa61e18-0f5a-4add-bafa-ae6b192e8e9e,testing 2,2f64402e-ec64-4747-b0d6-6034a3b8dd8c,ghi,third
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,efa61e18-0f5a-4add-bafa-ae6b192e8e9e,testing 2,7617ace9-c6a5-48ff-913f-f539497661e4,jkl,fourth
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,2feb9695-88e0-4cb8-85b6-4bbb04b7671a,Installation,2ab2816d-388b-4f16-8b52-b3c465029c2c,Not Started,Not Started
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,2feb9695-88e0-4cb8-85b6-4bbb04b7671a,Installation,e8293d39-637d-4711-96ee-b7b582b5bcfd,In Progress,In Progress
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,2feb9695-88e0-4cb8-85b6-4bbb04b7671a,Installation,9c32de1b-fe7c-4a08-ba7d-f7f039e0d19c,Finalized,Finalized
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,7a6f9b8c-f443-4aa5-83ad-547d80086758,Inspection,68cb2635-ade2-4115-9c66-2ea94cda0c8c,Scheduled,Scheduled
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,7a6f9b8c-f443-4aa5-83ad-547d80086758,Inspection,72eda371-3c93-492d-a886-7c03f12c0fdc,In Progress,In Progress
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,7a6f9b8c-f443-4aa5-83ad-547d80086758,Inspection,55c17ea5-9a7b-417a-b110-866531434669,Completed,Completed
