project_id,custom_attribute_id,name,display_name,description,data_type,required,values,values_and_ids
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,8151d4ab-5df3-4e47-b0ef-5361cb159d81,ca1,IFCGlobalId,Unique IFC identifier,text,True,,
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,5ae8d86e-e46e-46fb-94cc-43aa47977953,ca2,IFC_Type,Component type,text,True,,
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,521fc486-3576-4db5-9d3d-808f988a89a2,ca3,Discipline,Trade category,multi_select,False,,Architecture(ff49a95f-e2da-45bb-b7dd-06d2217f1d3a);Structural(f1dc2833-8297-4b6c-9393-ab4d8259c1e1);Mechanical(23f089ec-e9ac-493b-be62-8ad2822760da);Electrical(367ae5cc-7b58-45f6-8d31-d3b1318bd614);Plumbing(6592a0d5-8488-452d-b800-fad09e9aeace)
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,a359e86e-5fa5-4028-b141-f52133fca4b6,ca4,Subcontractor,Responsible party,text,False,,
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,ccb6025b-a539-4fe0-98cb-32aea26d1111,ca5,Planned Date,Construction plan,date,False,,
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,b05bca3c-11c4-4c91-bfab-75544e9249a6,ca12,Asset Value,Cost data,numeric,False,,
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,28dbd448-1388-43d7-a7fd-c31c5c8f96b5,ca22,Notes,Additional remarks or special handling instructions,text,False,,
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,e273fac5-ebb2-49d3-8b73-1033f4e0d9e5,ca27,Size of Material,Sizes,select,False,,Large(903ada8d-1e86-4759-b54a-1ddc4f38d2f9);Big(e5171040-89c6-4cf3-823b-6fe5dd6c3f13);Medium(5edcc036-4400-4249-a733-495e4afc353c);Small(e42ffe32-db6b-4139-b026-86ed94a3b99e)
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,7caa7eb3-d2ad-48d6-8689-7a3f1f0b76ea,ca28,webpage,1212313123,multi_select,True,,efe(97913f5a-e08b-4453-bb78-9103f1f4a53a);wfewfew(8324e6cb-dd9c-44a9-95db-9618735bc416);wefewf(54354c2c-6ee8-4064-a53a-3dd45656aeaf)
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,8a3e0d97-1a27-409e-aa20-66e99a4a0dd8,ca29,webpage1,multirow1,select,False,,123(5181353e-1ff8-4d12-9d3c-a6534fa7dd95);454(b8aafa06-48e1-4be4-bfb4-6a2f9f718b0e)
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,7c68a17f-19d4-4b96-954d-e163d84a8483,ca30,webpage2,multirow2,date,False,,
a824e4c7-7bdb-42e0-a874-6ab45fb74d84,67dcbffb-2e18-4cff-a05e-549b39c74916,ca31,Count,numbers counting,multi_select,True,,1(0d7896e4-1050-473c-86f5-46c87ac64540);2(4704e5a7-a64e-4d1c-a1e8-4feea5491c6c);3(73094a76-e6a5-4741-97b6-d0542307b738);4(ac163fff-ca6e-4476-a8d9-09bf7f24b290);5(d919e5d1-85a7-440f-9d2c-48cc77cf8cd3);6(4fcb5506-eddc-4fb5-a7e2-3b8503fcf656)
